1,5,10,apartment,100,Tel-aviv,Aven-gvirol,1000000,1
2,4,2,apartment,80,Ramat-gan,Alenbi,2000000,1
3,4,1,house,200,Tel-aviv,Dizingof,1500000,1
4,2,20,apartment,400,Ramat-gan,King-george,3000000,1
5,5,30,apartment,150,Tel-aviv,Rotchild,5000000,1
6,5,10,apartment,100,Tel-aviv,Frishman,2000000,1
7,3,1,apartment,60,Ramat-gan,Alenbi,1500000,5
8,3,3,apartment,87,Ramat-gan,Alenbi,2470000,10
9,5,4,apartment,121,Ramat-gan,Alenbi,4000000,15
10,3,5,apartment,82,Ramat-gan,Alenbi,2300000,20
11,4,5,apartment,79,Ramat-gan,Alenbi,2850000,25
12,2,3,apartment,45,Ramat-gan,Alenbi,1790000,30
13,3,3,apartment,54,Ramat-gan,Alenbi,2750000,35
14,10,1,house,240,Tel-aviv,Dizingof,8500000,5
15,6,1,house,220,Tel-aviv,Dizingof,7500000,10
16,5,1,house,180,Tel-aviv,Dizingof,6700000,15
17,5,1,house,200,Tel-aviv,Dizingof,6900000,20
18,3,1,house,150,Tel-aviv,Dizingof,3400000,25
19,2,3,apartment,54,Tel-aviv,Aven-gvirol,3785000,5
20,3,3,apartment,58,Tel-aviv,Aven-gvirol,3475000,10
21,3,3,apartment,72,Tel-aviv,Aven-gvirol,2944000,15
22,2,10,apartment,51,Tel-aviv,Aven-gvirol,3307000,20
23,3,3,apartment,85,Rishon-lezion,Bugrashov,1850000,5
24,4,2,apartment,86,Rishon-lezion,Bugrashov,1900000,10
25,3,1,apartment,39,Rishon-lezion,Bugrashov,1760000,15
26,3,1,apartment,68,Rishon-lezion,Bugrashov,2410000,20
27,4,8,apartment,87,Tel-aviv,Rotchild,45000000,5
28,5,4,apartment,170,Tel-aviv,Rotchild,3700000,10
29,5,6,apartment,200,Tel-aviv,Rotchild,4200000,15
30,5,9,apartment,270,Tel-aviv,Rotchild,4600000,20
31,5,7,apartment,350,Tel-aviv,Rotchild,7000000,25
